id,latitude,longitude,cost_per
0,30.4607176,-97.7928744,1
1,40.9220806,-75.3999187,2
2,40.7274006,-73.8124604,1
3,40.7505058,-73.990583,2
4,40.7291264,-73.9932643,1
5,40.7093746,-74.0099791,2
6,38.8969797,-77.0289132,1
7,34.0565932,-118.4259996,2
8,40.7188385,-73.9882797,1
9,32.8206541,-117.1780115,1
10,40.7185138,-74.0011677,2
11,40.7525294,-73.9928762,2
12,37.3854949,-121.9954211,2
13,28.3999863,-81.4051029,2
14,40.7590573,-111.8973832,2
15,38.9054561,-77.0442355,1
16,40.750831,-73.9890961,2
17,34.0352699,-118.2382063,1
18,25.7902955,-80.1320774,1
19,32.7976607,-117.2494697,1
20,44.9814099,-73.4598199,2
21,33.9312613,-118.2829548,1
22,34.0122192,-118.4945396,2
23,28.4503866,-81.4714142,1
24,29.6762669,-98.6345801,2
25,41.8796564,-87.7779131,1
26,30.3291349,-97.6606295,1
27,34.1525074,-118.3679036,2
28,39.8520594,-74.9810994,1
29,33.0093179,-97.2229254,1
30,40.7719101,-74.1614754,2
31,32.9580411,-97.3076518,1
32,36.0902437,-115.1758223,2
33,28.3335081,-81.5137384,2
34,28.6553497,-81.3426916,2
35,28.4238144,-81.4612421,2
36,38.8128231,-77.1850548,2
37,32.7445961,-96.8122859,1
38,25.8099996,-80.1890981,1
